Time [s],Current [A],Voltage [V]
0.0,2.5,4.139467681651251
60.0,2.5,4.076988514446227
120.0,2.5,4.059033040743819
180.0,2.5,4.050523024413478
240.0,2.5,4.046070615601608
300.0,2.5,4.043528735344007
360.0,2.5,4.041701844551128
420.0,2.5,4.039847831612957
480.0,2.5,4.037510424097852
540.0,2.5,4.034433326850408
600.0,2.5,4.030506189502007
660.0,2.5,4.025723612579634
720.0,2.5,4.0201498501004345
780.0,2.5,4.013891301852569
840.0,2.5,4.007076512440683
900.0,2.5,3.999834271312204
960.0,2.5,3.99229053710514
1020.0,2.5,3.984552606685735
1080.0,2.5,3.9767282038907372
1140.0,2.5,3.968893490156804
1200.0,2.5,3.961117789890113
1260.0,2.5,3.953452727719039
1320.0,2.5,3.945933834165854
1380.0,2.5,3.938587970930173
1440.0,2.5,3.9314263267912497
1500.0,2.5,3.9244541410494325
1560.0,2.5,3.9176659986107474
1620.0,2.5,3.911048645001281
1680.0,2.5,3.904580661490467
1740.0,2.5,3.898230349649014
1800.0,2.5,3.8919542602236814
1860.0,2.5,3.8856943143928726
1920.0,2.5,3.8793726472773225
1980.0,2.5,3.8728870308386707
2040.0,2.5,3.8661082282149297
2100.0,2.5,3.858880008319991
2160.0,2.5,3.851040876187343
2220.0,2.5,3.842465425067385
2280.0,2.5,3.833127787033326
2340.0,2.5,3.823164364231676
2400.0,2.5,3.812874745549162
2460.0,2.5,3.802634599728348
2520.0,2.5,3.7927605360264796
2580.0,2.5,3.7834139761080947
2640.0,2.5,3.774597007618888
2700.0,2.5,3.7662071959957477
2760.0,2.5,3.758105840967781
2820.0,2.5,3.7501639110406044
2880.0,2.5,3.742285743860146
2940.0,2.5,3.734413586984427
3000.0,2.5,3.7265236061152267
3060.0,2.5,3.7186195676296725
3120.0,2.5,3.7107254141621318
3180.0,2.5,3.702878058040376
3240.0,2.5,3.6951208125222825
3300.0,2.5,3.687497718175578
3360.0,2.5,3.6800490776129164
3420.0,2.5,3.6728077703654374
3480.0,2.5,3.6657976566006414
3540.0,2.5,3.659032744368375
3600.0,2.5,3.6525173226302288
3660.0,2.5,3.6462468893141895
3720.0,2.5,3.640209499460871
3780.0,2.5,3.6343872642308677
3840.0,2.5,3.6287577903933426
3900.0,2.5,3.6232954188827646
3960.0,2.5,3.6179721855856584
4020.0,2.5,3.6127584796985146
4080.0,2.5,3.607623412655788
4140.0,2.5,3.602534935670029
4200.0,2.5,3.59745976034878
4260.0,2.5,3.5923631492296138
4320.0,2.5,3.58720865557992
4380.0,2.5,3.5819579075598185
4440.0,2.5,3.576570520374372
4500.0,2.5,3.571004419041475
4560.0,2.5,3.565216497879783
4620.0,2.5,3.5591639409749427
4680.0,2.5,3.5528063702040082
4740.0,2.5,3.5461088549306297
4800.0,2.5,3.53904574979357
4860.0,2.5,3.5316050871825113
4920.0,2.5,3.5237929654930173
4980.0,2.5,3.515637092056322
5040.0,2.5,3.5071884764996737
5100.0,2.5,3.498520359923594
5160.0,2.5,3.489723890078882
5220.0,2.5,3.4809007640891587
5280.0,2.5,3.4721538474445306
5340.0,2.5,3.463577335899342
5400.0,2.5,3.4552481076391284
5460.0,2.5,3.447219467493965
5520.0,2.5,3.439517682244917
5580.0,2.5,3.4321408985574275
5640.0,2.5,3.4250592935721444
5700.0,2.5,3.418215040192779
5760.0,2.5,3.411520549142972
5820.0,2.5,3.4048534834687243
5880.0,2.5,3.398047224386963
5940.0,2.5,3.3908758660016454
6000.0,2.5,3.383033931413907
6060.0,2.5,3.3741138263935415
6120.0,2.5,3.363590141798288
6180.0,2.5,3.3508305563437837
6240.0,2.5,3.335165804649272
6300.0,2.5,3.31605240570191
6360.0,2.5,3.2933226419802692
6420.0,2.5,3.267417249052553
6480.0,2.5,3.239398680052767
6540.0,2.5,3.210605191067377
6600.0,2.5,3.182076466140716
6660.0,2.5,3.1540925720209594
6720.0,2.5,3.1260480810784235
6780.0,2.5,3.0965892503759385
6840.0,2.5,3.063802952579696
6900.0,2.5,3.0253091970888297
6960.0,2.5,2.978217724006691
7020.0,2.5,2.91896414201671
7080.0,2.5,2.8430445327851483
7140.0,2.5,2.7446495342490205
7200.0,2.5,2.616176340009518
7243.0409735378635,2.5,2.4999999999999956
